CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:5107:5,役所,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,5107,そして、町のほぼまん中には駅、ちょっとはなれたところにはかたまって、役所、警察署、消防署、学校があります。,"July 13, 2019 10:41:58 PM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:5500:4,鈴,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,5500,その一つは、町の高い木という木のてっぺんにぶらさがっている銀色の鈴です。,"July 15, 2019 02:13:37 PM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:5200:6,ふつう,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,5200,この町は、どこにでもあるふつうの町のようです。 　,"July 15, 2019 02:11:31 PM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:4948:5,屋根,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,4948,この町は南へゆっくりさがる坂の町で、こげたパンのような色の小さな屋根がならんでいます。 　,"July 15, 2019 08:24:26 PM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:5023:5,ほぼ,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,5023,そして、町のほぼまん中には駅、ちょっとはなれたところにはかたまって、役所、警察署、消防署、学校があります。,"July 15, 2019 08:24:19 PM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:5707:8,ちっちゃな,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,5707,すると町の人たちは顔を見あわせて、 「おや、おや、またちっちゃなキキが足をひっかけたね」 　と笑いあうのでした。 　,"July 30, 2019 04:43:59 AM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:6239:6,面する,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,6239,通りに面した門の柱には、 「くしゃみのおくすり　おわけいたします」 　という木のふだがかかっていて、緑色のペンキでぬった戸が大きくあいています。,"July 30, 2019 04:46:50 AM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:6173:6,のぞく,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,6173,それでは、目を町の東のはずれにうつして、キキが住んでいる家をちょっとのぞいてみましょうか。 　,"July 30, 2019 04:46:34 AM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:5575:5,だす,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,5575,この鈴は、嵐でもないのにときどき大きな音をだすことがあるのです。,"July 30, 2019 04:35:46 AM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:5680:5,おや,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,5680,すると町の人たちは顔を見あわせて、 「おや、おや、またちっちゃなキキが足をひっかけたね」 　と笑いあうのでした。 　,"July 30, 2019 04:43:34 AM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:5899:6,ふつう,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,5899,そう、みんなにうわさされているこのキキも、ふつうではありません。,"July 30, 2019 04:45:33 AM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:6071:7,それでは,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,6071,それでは、目を町の東のはずれにうつして、キキが住んでいる家をちょっとのぞいてみましょうか。 　,"July 30, 2019 04:45:59 AM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:5608:6,すると,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,5608,すると町の人たちは顔を見あわせて、 「おや、おや、またちっちゃなキキが足をひっかけたね」 　と笑いあうのでした。 　,"July 30, 2019 04:35:58 AM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900:5518:4,鈴,新装版　魔女の宅急便 (角川文庫),B00A8QWAC2,5518,この鈴は、嵐でもないのにときどき大きな音をだすことがあるのです。,"July 30, 2019 04:24:27 AM",ja,CR!XWEN7M760X2RX14KJK2KQECKB0ZC:DEE24900 ja
CR!5J1VG2SWH16YDAE144G8EDP1QEXA:AZ4DAAByAAAA:3680:5,匂う,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AZ4DAAByAAAA:3680,向こう岸には隣町があって、私達の町とは少し匂いが違う様に思えます。 　,"June 09, 2021 11:34:50 PM",ja,CR!5J1VG2SWH16YDAE144G8EDP1QEXA ja
CR!5J1VG2SWH16YDAE144G8EDP1QEXA:AZ4DAAB3AAAA:3685:4,様,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AZ4DAAB3AAAA:3685,向こう岸には隣町があって、私達の町とは少し匂いが違う様に思えます。 　,"June 09, 2021 11:41:03 PM",ja,CR!5J1VG2SWH16YDAE144G8EDP1QEXA ja
CR!5J1VG2SWH16YDAE144G8EDP1QEXA:AZ4DAAB3AAAA:3685:5,様に,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AZ4DAAB3AAAA:3685,向こう岸には隣町があって、私達の町とは少し匂いが違う様に思えます。 　,"June 09, 2021 11:41:07 PM",ja,CR!5J1VG2SWH16YDAE144G8EDP1QEXA ja
CR!9K7BKR5DFX4CHFGQ795652H71Z42:AegHAAAQAAAA:36316:5,窓際,世界から猫が消えたなら,B00A8QWAC2,AegHAAAQAAAA:36316,その姿を見たら、なぜだか急に、窓際で寂しそうに座っているツタヤの姿を思い出してしまった。 　,"June 09, 2021 11:43:28 PM",ja,CR!9K7BKR5DFX4CHFGQ795652H71Z42 ja
CR!9K7BKR5DFX4CHFGQ795652H71Z42:AfgHAAAVAAAA:36885:8,パッケージ,世界から猫が消えたなら,B00A8QWAC2,AfgHAAAVAAAA:36885,空のパッケージだったのだ。 　,"June 10, 2021 07:04:24 AM",ja,CR!9K7BKR5DFX4CHFGQ795652H71Z42 ja
CR!9K7BKR5DFX4CHFGQ795652H71Z42:AekHAAAwAAAA:36393:4,ず,世界から猫が消えたなら,B00A8QWAC2,AekHAAAwAAAA:36393,誰とも交わらず、焦らず、ただゆっくりと、ひとりで大切なものだけを見つめようとしている。,"June 09, 2021 11:43:33 PM",ja,CR!9K7BKR5DFX4CHFGQ795652H71Z42 ja
CR!9K7BKR5DFX4CHFGQ795652H71Z42:Af0HAAAeAAAA:37071:5,寄る,世界から猫が消えたなら,B00A8QWAC2,Af0HAAAeAAAA:37071,寄ってみれば悲劇だけれども、引いてみれば喜劇なのだ。 ,"June 10, 2021 12:43:34 PM",ja,CR!9K7BKR5DFX4CHFGQ795652H71Z42 ja
CR!9K7BKR5DFX4CHFGQ795652H71Z42:Af8HAAADAAAA:37125:7,しばらく,世界から猫が消えたなら,B00A8QWAC2,Af8HAAADAAAA:37125,いくつかフィルムもあるけれど……」 　僕はしばらく考え込み、そしてある結論を出した。,"June 10, 2021 12:43:54 PM",ja,CR!9K7BKR5DFX4CHFGQ795652H71Z42 ja
CR!9K7BKR5DFX4CHFGQ795652H71Z42:AfoHAAAFAAAA:36971:5,痛恨,世界から猫が消えたなら,B00A8QWAC2,AfoHAAAFAAAA:36971,ツタヤ、痛恨のミスだよ。,"June 10, 2021 12:42:27 PM",ja,CR!9K7BKR5DFX4CHFGQ795652H71Z42 ja
CR!9K7BKR5DFX4CHFGQ795652H71Z42:AfcHAAAfAAAA:36860:6,失った,世界から猫が消えたなら,B00A8QWAC2,AfcHAAAfAAAA:36860,そして言葉を失った。 　,"June 10, 2021 12:41:34 PM",ja,CR!9K7BKR5DFX4CHFGQ795652H71Z42 ja
